gene,err_spaceflight,err_ground,err_ratio
AT5G60910,0.80203825,0.1590151,5.043786
AT3G13590,0.560663,0.111186825,5.0425305
AT3G44160,0.3388558,0.06720513,5.0421114
AT1G53950,1.13263,0.22473232,5.0399065
AT5G41870,0.4272294,0.084798165,5.0381913
AT4G15310,0.7328554,0.1454803,5.037488
AT1G71050,0.7009106,0.1391991,5.03531
AT3G28640,0.73954505,0.14690757,5.0340834
AT2G24310,0.7718362,0.15341052,5.0311813
AT5G35890,0.6735853,0.1339357,5.0291686
AT5G38620,0.6758961,0.13443151,5.0278096
AT1G19750,0.6985237,0.13894336,5.0273986
AT5G38990,0.49040422,0.09772955,5.0179725
AT5G27910,0.70752025,0.14106782,5.0154614
AT1G64150,0.39304912,0.07843092,5.0114045
AT1G80590,1.0423064,0.20807646,5.009247
AT2G36145,0.49724916,0.09931384,5.006846
AT4G08430,0.69978213,0.13977864,5.006359
AT2G38510,0.6103026,0.121987335,5.003
AT1G15600,0.49536064,0.09905241,5.000995
AT4G24540,0.62545323,0.125222,4.994755
AT1G06250,0.77841645,0.1558649,4.994174
AT1G04920,0.6459768,0.12945156,4.9901037
AT5G20430,0.9948963,0.19940776,4.9892554
AT4G21020,1.0402577,0.20853622,4.9883785
AT4G14096,0.44184154,0.08859562,4.9871707
AT5G11290,0.7875522,0.15799503,4.984664
AT5G10120,0.8244767,0.16564938,4.9772396
AT1G49340,0.30587545,0.06147254,4.9758053
AT1G08730,0.4893372,0.09835615,4.975156
AT1G14440,0.5129675,0.103145845,4.973225
AT2G24255,0.5951412,0.119738005,4.970361
AT2G32870,0.6796714,0.13681597,4.9677777
AT3G20950,0.57855564,0.11647555,4.967185
AT3G17230,0.64240116,0.12936184,4.9659243
AT2G46720,0.54286236,0.109348126,4.9645324
AT1G77110,0.4767709,0.09617027,4.9575706
AT4G25860,0.8383824,0.16911572,4.9574475
AT2G03560,0.804979,0.1624304,4.955839
AT2G33520,0.8777672,0.17717573,4.9542174
AT1G52920,0.6334979,0.1278881,4.953532
AT1G61750,0.8022649,0.16198069,4.9528427
AT3G61650,0.33004278,0.06665385,4.9515934
AT2G34960,0.62436736,0.1261538,4.949255
AT3G48960,0.51325196,0.10372165,4.9483585
AT1G24400,0.41928193,0.0847435,4.9476585
AT4G16990,0.47138953,0.09527853,4.9474893
